date,spx_idx,spx_mkcap,fedbs,fedfundsrate,us10y,gdp_growth_real,gdp_growth_nom,gdp_real,gdp_nom,debt_gdp,short_debt,govexp_gdp,home_median,home_single_median,home_single_ave,median_earning
2012-09-30,1400.9430158730158,2837421.5384615385,2837421.5384615385,0.1461904761904762,1.6226153846153846,0.7,1.6404545454545454,16282.2,16319.54,18.99,5158608.0,269.99,183.66666666666666,184.33333333333334,232.66666666666666,766.0
2012-12-31,1418.1390322580644,2858989.076923077,2858989.076923077,0.16096774193548388,1.690909090909091,0.4,1.7029850746268655,16300.0,16420.39,19.27,4953488.0,302.95,178.83333333333334,178.9,227.73333333333335,771.0
2013-03-31,1513.98,3060648.076923077,3060648.076923077,0.14426229508196722,1.92671875,3.5,1.977076923076923,16441.5,16629.05,19.6,5103074.0,296.08,175.9333333333333,176.36666666666667,224.29999999999998,768.0
2013-06-30,1609.49125,3353622.923076923,3353622.923076923,0.11703125,1.9701538461538461,0.6,1.9660606060606058,16464.4,16699.55,19.17,5256709.0,266.62333333333333,202.96666666666667,203.4333333333333,251.70000000000002,777.0
2013-09-30,1674.94359375,3613484.769230769,3613484.769230769,0.08546875,2.691666666666667,3.2,2.72910447761194,16594.7,16911.07,18.82,5105282.0,285.75666666666666,206.86666666666667,207.0666666666667,254.13333333333333,779.0
2013-12-31,1768.66734375,3889295.3846153845,3889295.3846153845,0.08548387096774193,2.7322727272727274,2.9,2.7720895522388056,16712.8,17133.11,18.81,5432730.0,279.67,196.9,196.86666666666667,244.9333333333333,782.0
2014-03-31,1834.8711475409837,4127964.230769231,4127964.230769231,0.07278688524590164,2.7578125,-1.4,2.72,16654.2,17144.28,18.94,5469156.0,298.95666666666665,191.0,191.0666666666667,238.96666666666667,790.0
2014-06-30,1900.3726984126984,4311948.230769231,4311948.230769231,0.09109375,2.612153846153846,5.2,2.6877272727272725,16868.1,17462.7,17.84,5530437.0,296.79,211.83333333333334,212.0,259.40000000000003,781.0
2014-09-30,1975.908125,4414641.769230769,4414641.769230769,0.0896875,2.4887878787878788,4.7,2.5501492537313433,17064.6,17743.23,17.63,5525824.0,292.49333333333334,216.36666666666667,217.0666666666667,262.5,798.0
2014-12-31,2009.344375,4484784.785714285,4484784.785714285,0.10209677419354839,2.2663636363636366,1.8,2.269850746268657,17141.2,17852.54,17.68,5455870.0,305.38,207.63333333333333,208.36666666666667,254.6,795.0
2015-03-31,2063.6898360655737,4497296.916666667,4497296.916666667,0.11459016393442624,1.96328125,3.3,1.9807692307692308,17280.6,17991.35,17.69,5539146.0,313.53333333333336,203.4,204.73333333333335,250.66666666666666,802.0
2015-06-30,2101.8290476190477,4480482.384615385,4480482.384615385,0.1259375,2.1584615384615384,2.3,2.1954545454545453,17380.9,18193.71,17.39,5417306.0,301.33,227.96666666666667,229.46666666666667,273.3,803.0
2015-09-30,2027.2,4485814.428571428,4485814.428571428,0.1356923076923077,2.215151515151515,1.3,2.219402985074627,17437.1,18306.96,17.27,5383209.0,308.17,227.33333333333334,228.9,271.73333333333335,809.0
2015-12-31,2052.311875,4489102.384615385,4489102.384615385,0.16080645161290325,2.1836363636363636,0.6,2.158507462686567,17462.6,18332.08,17.46,5212109.0,327.06666666666666,220.76666666666665,222.29999999999998,265.03333333333336,821.0
